model,lr,weight_decay,dropout,best_val_acc
efficientnet_b0,0.001,0.0,0.0,0.9973262032085561
efficientnet_b0,0.001,0.0,0.2,0.9946524064171123
efficientnet_b0,0.001,0.0001,0.0,0.9866310160427807
efficientnet_b0,0.001,0.0001,0.2,0.9973262032085561
efficientnet_b0,0.001,0.001,0.0,0.9866310160427807
efficientnet_b0,0.001,0.001,0.2,0.9866310160427807
efficientnet_b0,0.0005,0.0,0.0,0.9973262032085561
efficientnet_b0,0.0005,0.0,0.2,0.9973262032085561
efficientnet_b0,0.0005,0.0001,0.0,0.9973262032085561
efficientnet_b0,0.0005,0.0001,0.2,1.0
efficientnet_b0,0.0005,0.001,0.0,0.9973262032085561
efficientnet_b0,0.0005,0.001,0.2,0.9946524064171123
efficientnet_b0,0.0001,0.0,0.0,0.9973262032085561
efficientnet_b0,0.0001,0.0,0.2,1.0
efficientnet_b0,0.0001,0.0001,0.0,1.0
efficientnet_b0,0.0001,0.0001,0.2,0.9973262032085561
efficientnet_b0,0.0001,0.001,0.0,1.0
efficientnet_b0,0.0001,0.001,0.2,0.9973262032085561
resnet18,0.0001,0.001,0.3,0.9919786096256684
resnet18,0.0001,0.001,0.5,0.9973262032085561
resnet18,0.0001,0.01,0.3,0.9973262032085561
resnet18,0.0001,0.01,0.5,0.9919786096256684
resnet18,5e-05,0.001,0.3,0.9973262032085561
resnet18,5e-05,0.001,0.5,1.0
resnet18,5e-05,0.01,0.3,1.0
resnet18,5e-05,0.01,0.5,1.0
densenet121,0.0001,0.001,0.3,1.0
densenet121,0.0001,0.001,0.5,1.0
densenet121,0.0001,0.01,0.3,1.0
densenet121,0.0001,0.01,0.5,1.0
densenet121,5e-05,0.001,0.3,1.0
densenet121,5e-05,0.001,0.5,1.0
densenet121,5e-05,0.01,0.3,0.9973262032085561
densenet121,5e-05,0.01,0.5,0.9973262032085561
vgg16,1e-05,0.0,0.0,0.9919786096256684
vgg16,1e-05,0.0,0.2,0.9919786096256684
vgg16,1e-05,0.0001,0.0,0.9919786096256684
vgg16,1e-05,0.0001,0.2,0.9732620320855615
vgg16,1e-06,0.0,0.0,0.8770053475935828
vgg16,1e-06,0.0,0.2,0.9010695187165776
vgg16,1e-06,0.0001,0.0,0.8770053475935828
vgg16,1e-06,0.0001,0.2,0.8823529411764706
